mbti,function_pair,playlist_name,playlist_id,track_count,danceability_mean,danceability_stdev,energy_mean,energy_stdev,loudness_mean,loudness_stdev,mode_mean,mode_stdev,speechiness_mean,speechiness_stdev,acousticness_mean,acousticness_stdev,liveness_mean,liveness_stdev,valence_mean,valence_stdev,tempo_mean,tempo_stdev,instrumentalness_mean,instrumentalness_stdev,Cminor_count,CMajor_count,C#/Dbminor_count,C#/DbMajor_count,DMajor_count,D#_EbMajor_count,Eminor_count,Fminor_count,FMajor_count,F#/Gbminor_count,F#/GbMajor_count,Gminor_count,GMajor_count,G#/Abminor_count,G#/AbMajor_count,Aminor_count,AMajor_count,A#/Bbminor_count,Bminor_count,BMajor_count,Dminor_count,EMajor_count,A#/BbMajor_count,D#_Ebminor_count
ESFP,SP,✨ ESFP VIBES ✨,5fxEXREieENyuznU1Icr7w,50,0.7170800000000002,0.1489586766420095,0.6215599999999999,0.1370727737594977,-6.459979999999999,2.276360920506272,0.5,0.5050762722761054,0.089734,0.0785898513726518,0.20774334,0.2229166714811366,0.183848,0.141359313835924,0.547802,0.2221627207380083,123.87632000000002,25.58107308023505,0.0087277716,0.0472003738017891,1.0,5.0,2.0,2.0,3.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,2.0,1.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0
ESFP,SP,This Is < E S C P >,37i9dQZF1DZ06evO3uAO7D,44,0.6515000000000001,0.1095407962656453,0.5296136363636363,0.1597547853356266,-9.96375,2.830868755839928,0.5227272727272727,0.5052577681363806,0.039775,0.0119301674484827,0.1620170659090909,0.2107010370592031,0.1827454545454545,0.1445041070544451,0.3986795454545455,0.2508586126194792,120.93795454545452,34.42465269687134,0.797826590909091,0.1946441436217574,1.0,5.0,2.0,0.0,5.0,0.0,6.0,2.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,2.0,3.0,5.0,0.0,1.0,4.0,0.0,0.0
ESFP,SP,ESFP playlist,61YjF0sUY6yq96mqbHdkAR,32,0.63975,0.1677732725071009,0.69884375,0.2001614041258027,-6.3199375,3.101114616865279,0.84375,0.3689020326284735,0.11535,0.1442896169112216,0.23280271875,0.2712031603020539,0.172490625,0.1132252888638684,0.5400906249999999,0.2461203971825054,121.59871875,29.17867766823462,0.049356011875,0.132769125666624,0.0,5.0,0.0,3.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0
ESFP,SP,esfp,0sf2ZiHCo5FmtPdOnACzZi,50,0.70018,0.1026346184187342,0.64528,0.1385871920341788,-6.521640000000002,2.015937344750373,0.58,0.4985693819032897,0.091678,0.0792914316857471,0.1986945799999999,0.1798869376703373,0.159122,0.1042632114469168,0.537892,0.2019239388422061,118.66102,20.91023807679299,0.0118467206,0.0508188711581351,3.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0,4.0,3.0,1.0,0.0,6.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ESFP,SP,esfp energy,4UkXzZkiMIpkiG8HLEsava,50,0.6263599999999999,0.1356765000029895,0.7821400000000002,0.1439417413329406,-5.27736,1.9284725557724032,0.54,0.5034574339058886,0.073216,0.0549128748146385,0.060892054,0.0988638958317933,0.1789539999999999,0.1687152572973113,0.60316,0.2034593034571418,131.80470000000005,27.985730324687303,0.0027637776,0.0171249773622124,1.0,4.0,1.0,3.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,1.0,3.0,1.0,5.0,0.0,0.0,4.0,0.0,1.0
ESFP,SP,esfp-a™,3RW3FHxSWLiJ8iFrxOOiMH,50,0.7684799999999999,0.1087690382115673,0.60456,0.1304765457068504,-6.414000000000001,1.9291532455712168,0.54,0.5034574339058886,0.15116,0.1070729295615748,0.09070254,0.1103004195697998,0.17116,0.123150970896104,0.46078,0.2192254267987681,121.11090000000002,27.15416427210248,0.0007564277999999,0.0025775191252959,3.0,2.0,4.0,7.0,5.0,0.0,1.0,2.0,0.0,3.0,2.0,2.0,4.0,1.0,4.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0
ESFP,SP,ESFP playlist,1Pr9eV0Uiztk5t4VWtquW0,50,0.7031999999999999,0.1520593332101865,0.7052799999999999,0.152050346119639,-5.73546,2.2357738760657258,0.52,0.5046720495044484,0.0908,0.0699978716877615,0.14599458,0.170009663986551,0.168462,0.1268856803326103,0.609,0.1988466746013118,123.38458,26.1828818303572,0.0229130522,0.0897899520374868,2.0,2.0,1.0,3.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0,4.0,1.0,0.0,4.0,0.0,0.0
ESFP,SP,esfp // the entertainer ,4pi2j0t6uT4YtBXnT2gAa4,29,0.6382068965517242,0.1623260342006492,0.6803448275862071,0.1739973882936319,-6.688758620689655,2.27455519443084,0.6896551724137931,0.4708236154307584,0.0895068965517241,0.0834621339763235,0.2086450344827586,0.2806520641683632,0.1866896551724138,0.1171447131446144,0.5774793103448275,0.1917203830346057,119.7156896551724,31.027582650768107,0.0554246655172413,0.1716201438650566,1.0,5.0,1.0,5.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0
ESFP,SP,esfp girl ,2jw8ZxlE1fedEK9IStS3CK,50,0.57946,0.1514884261760815,0.5567599999999999,0.2117275251306716,-7.695820000000001,3.783400488007192,0.62,0.4903143514780145,0.062202,0.0594672761667614,0.31798286,0.3419094975919684,0.180148,0.1399872956917949,0.367978,0.1861257850848973,117.9731,27.89827244322355,0.0461552391999999,0.1135542839044542,4.0,4.0,2.0,7.0,5.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,2.0,3.0,0.0
ESFP,SP,ESFP-A,0vsBnAcLXCJBmGho4yvgW6,50,0.6852999999999999,0.1262115570891079,0.67832,0.1635515820773372,-6.76416,2.818472964466499,0.54,0.5034574339058886,0.120602,0.1146955054721422,0.1735660999999999,0.2145056414572581,0.219746,0.1421932332986291,0.466584,0.2334962573313651,117.95422,28.29447701734927,0.2023790394,0.3269777049013595,1.0,2.0,3.0,7.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,0.0,1.0,6.0,3.0,0.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0
ESFP,SP,My Esfp vibes,2L4h7HaOgP8EPHIxfiIneP,50,0.74922,0.1063849939548595,0.6212000000000001,0.1346442023426549,-6.906399999999999,2.495581491274496,0.48,0.5046720495044485,0.08595,0.0565236639986893,0.2551434,0.2125845911497974,0.173746,0.1198931245326606,0.5827,0.2264027700486773,121.54908000000002,24.130293495039275,0.0421763258,0.171248283773438,1.0,5.0,1.0,3.0,3.0,1.0,1.0,2.0,3.0,4.0,1.0,2.0,2.0,6.0,4.0,2.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0
ESFP,SP,ESFP (PDB),0vjCIXyUQkX1jH3azG1Uql,50,0.61952,0.1616963947700524,0.73244,0.1665138542988822,-5.35172,2.527649428675922,0.52,0.5046720495044485,0.084444,0.0671446205239565,0.1193923765999999,0.1731009241816531,0.215096,0.1704881035528908,0.50662,0.2321831200248842,124.66596,23.826984043529567,0.0026608924,0.0110736643669559,1.0,8.0,4.0,5.0,0.0,0.0,5.0,2.0,0.0,1.0,2.0,3.0,4.0,0.0,1.0,3.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0
ESFP,SP,enfp? enfj? esfp?,6vw2NaGrj5TxLBszc4xsSX,50,0.6251399999999999,0.104511889763992,0.6483599999999999,0.1870867702212979,-7.37272,3.49187400151394,0.62,0.4903143514780145,0.07719,0.0675751380739565,0.27860042,0.252300687576056,0.207516,0.1500392565773561,0.554878,0.195548932536914,120.05332,30.43554331023824,0.0082355709999999,0.0350371222281065,2.0,3.0,1.0,3.0,8.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,3.0,2.0,5.0,1.0,6.0,0.0,1.0,2.0,0.0,0.0
